jal,469
jalr,73
beq,46
bne,38
blt,78
bge,40
bltu,41
bgeu,35
bgez,2
bgtz,5
blez,3
bltz,6
bnez,1163
beqz,1147
j,1213
jr,20
ret,30
mret,1
lb,63
lh,38
lw,10594
lbu,55
lhu,40
sb,47
sh,50
sw,2373
ld,2629
sd,2677
lwu,41
mul,4
div,2
divu,1
remu,2
mulw,1
divw,2
csrrw,28
csrrs,28
csrrc,216
csrrwi,44
csrrsi,30
csrrci,44
csrs,3
csrr,6
csrw,5
fscsr,1
unimp,2703
amoor.w,9
sc.d,1
amoadd.d,1
amoxor.d,1
amoor.d,14
amomin.d,1
amomax.d,1
amominu.d,2
flw,47
fsw,39
fmadd.s,244
fmsub.s,220
fnmsub.s,228
fnmadd.s,212
fadd.s,4
fsub.s,7
fmul.s,4
fdiv.s,7
fcvt.wu.s,1
fmv.w.x,32
fcvt.l.s,1
fld,13279
fsd,2517
fmadd.d,122
fmsub.d,127
fnmsub.d,126
fnmadd.d,125
fadd.d,3
fmul.d,1
fdiv.d,1
fcvt.s.d,1
fcvt.d.s,1
fence,4
nop,100
c.nop,56


total instructions,39022

integer computation,11957
branching,2203
memory access,6944
mul and div,4
csr,15422
atomic,1
floating point operations,2007
misc,484

addi,4512
slti,4
sltiu,13
xori,49
ori,7
andi,53
slli,1864
srai,88
li,633
lui,731
auipc,180
add,228
sub,14
sltu,1
xor,6
sra,1
or,7
and,12
addiw,540
slliw,2
srliw,1
sraiw,2
slli,1864
srli,316
srai,88
addw,42
subw,3
c.add,2
c.li,21
c.lui,7
c.mv,80
c.slli,376
mv,152
not,1
neg,2
sext.w,55
jal,331
jalr,51
beq,21
bne,14
blt,37
bge,3
bltu,270
bgeu,17
bgez,2
bgtz,2
blez,3
bltz,3
bnez,236
beqz,952
j,217
jr,13
ret,30
mret,1
lb,332
lh,2
lw,1574
lbu,83
lhu,2
sb,47
sh,7
sw,2048
ld,1936
sd,907
lwu,6
mul,1
divu,1
remu,2
csrrw,7
csrrs,3
csrrc,15
csrrwi,10
csrrsi,113
csrrci,3
csrs,2
csrr,5
csrw,3
fscsr,1
unimp,15260
amoor.w,1
flw,5
fsw,7
fmadd.s,67
fmsub.s,52
fnmsub.s,60
fnmadd.s,95
fadd.s,48
fsub.s,3
fmul.s,1
fcvt.w.s,1
fmv.w.x,32
fld,985
fsd,597
fmadd.d,17
fmsub.d,10
fnmsub.d,15
fnmadd.d,10
fsub.d,1
fcvt.w.d,1
fence,9
ecall,5
nop,229
c.nop,241


total instructions,1180

integer computation,597
branching,237
memory access,266
mul and div,3
csr,41
floating point operations,32
misc,4

addi,136
ori,4
andi,12
slli,26
srai,1
li,136
lui,22
auipc,39
add,26
sub,9
sltu,2
or,12
and,12
addiw,17
slliw,2
slli,26
srli,9
srai,1
addw,4
subw,3
mv,81
not,2
neg,3
sext.w,12
jal,24
jalr,12
beq,14
bne,12
blt,4
bge,1
bltu,16
bgeu,20
bgez,2
bgtz,1
blez,3
bltz,2
bnez,24
beqz,25
j,45
jr,1
ret,30
mret,1
lb,2
lh,2
lw,13
lbu,28
lhu,1
sb,8
sw,8
ld,88
sd,115
lwu,1
divu,1
remu,2
csrrw,8
csrs,2
csrr,9
csrw,21
fscsr,1
fmv.w.x,32
fence,4


total instructions,6363

integer computation,2868
branching,603
memory access,1823
mul and div,3
csr,54
floating point operations,995
